공종,기인물,재해형태,사고건수,공종전체건수,비중(%)
4. 마감공사,"지붕(처마,홈통)",떨어짐,87,751,11.6
4. 마감공사,"지붕(채광판,선라이트)",떨어짐,73,751,9.7
4. 마감공사,달비계,떨어짐,66,751,8.8
4. 마감공사,사다리,떨어짐,53,751,7.1
4. 마감공사,고소작업대,떨어짐,50,751,6.7
4. 마감공사,비계,떨어짐,41,751,5.5
4. 마감공사,슬라브단부,떨어짐,40,751,5.3
4. 마감공사,이동식비계,떨어짐,39,751,5.2
4. 마감공사,작업발판/가설계단,떨어짐,28,751,3.7
4. 마감공사,개구부(바닥개구부),떨어짐,27,751,3.6
4. 마감공사,개구부(기타개구부),떨어짐,21,751,2.8
4. 마감공사,철골(철골구조물),떨어짐,19,751,2.5
4. 마감공사,계단,떨어짐,15,751,2.0
4. 마감공사,말비계,떨어짐,15,751,2.0
4. 마감공사,벽체,떨어짐,11,751,1.5
4. 마감공사,외부마감재,떨어짐,10,751,1.3
4. 마감공사,천장(판넬 등 마감재),떨어짐,10,751,1.3
4. 마감공사,"기타자재(내부마감재,시멘트,마대)",떨어짐,9,751,1.2
4. 마감공사,기타구조물,떨어짐,8,751,1.1
4. 마감공사,리프트,떨어짐,8,751,1.1
4. 마감공사,고소작업대,끼임,7,751,0.9
4. 마감공사,이동식크레인,떨어짐,7,751,0.9
4. 마감공사,엘리베이터피트,떨어짐,6,751,0.8
4. 마감공사,"기타자재(내부마감재,시멘트,마대)",맞음,5,751,0.7
4. 마감공사,충전부,감전,5,751,0.7
4. 마감공사,화학물질,유해위험물질 노출 접촉,5,751,0.7
4. 마감공사,기계설비,끼임,4,751,0.5
4. 마감공사,화학물질,화재,4,751,0.5
4. 마감공사,"각재(파이프,강관,합판)",떨어짐,3,751,0.4
4. 마감공사,"각재(파이프,강관,합판)",맞음,3,751,0.4
4. 마감공사,지게차,끼임,3,751,0.4
4. 마감공사,굴착기,떨어짐,2,751,0.3
4. 마감공사,기계설비,맞음,2,751,0.3
4. 마감공사,기타건설기계기구,맞음,2,751,0.3
4. 마감공사,기타건설장비,떨어짐,2,751,0.3
4. 마감공사,"기타자재(내부마감재,시멘트,마대)",깔림 뒤집힘,2,751,0.3
4. 마감공사,"기타자재(내부마감재,시멘트,마대)",끼임,2,751,0.3
4. 마감공사,리프트,끼임,2,751,0.3
4. 마감공사,분류불능,떨어짐,2,751,0.3
4. 마감공사,비계,맞음,2,751,0.3
4. 마감공사,외부마감재,부딪힘 접촉,2,751,0.3
4. 마감공사,이동식비계,깔림 뒤집힘,2,751,0.3
4. 마감공사,철골(철골자재),떨어짐,2,751,0.3
4. 마감공사,"철근콘크리트자재(철근,콘크리트,PC)",떨어짐,2,751,0.3
4. 마감공사,충전부,떨어짐,2,751,0.3
4. 마감공사,트럭,떨어짐,2,751,0.3
4. 마감공사,"각재(파이프,강관,합판)",넘어짐,1,751,0.1
4. 마감공사,"각재(파이프,강관,합판)",맞음(낙하물체),1,751,0.1
4. 마감공사,거푸집,떨어짐,1,751,0.1
4. 마감공사,계단,넘어짐,1,751,0.1
4. 마감공사,계단,부딪힘 접촉,1,751,0.1
4. 마감공사,고소작업대,깔림 뒤집힘,1,751,0.1
4. 마감공사,고소작업대,부딪힘 접촉,1,751,0.1
4. 마감공사,교통수단,끼임,1,751,0.1
4. 마감공사,교통수단,부딪힘 접촉,1,751,0.1
4. 마감공사,기타가설구조물,떨어짐,1,751,0.1
4. 마감공사,기타건설장비,맞음,1,751,0.1
4. 마감공사,기타구조물,맞음,1,751,0.1
4. 마감공사,"기타자재(내부마감재,시멘트,마대)",화재,1,751,0.1
4. 마감공사,리프트,맞음,1,751,0.1
4. 마감공사,물,익사,1,751,0.1
4. 마감공사,바닥(바닥에 걸려 넘어짐),떨어짐,1,751,0.1
4. 마감공사,바닥(바닥에 걸려 넘어짐),부딪힘 접촉,1,751,0.1
4. 마감공사,방망,떨어짐,1,751,0.1
4. 마감공사,분류불능,감전,1,751,0.1
4. 마감공사,분류불능,원인미상,1,751,0.1
4. 마감공사,분류불능,화재,1,751,0.1
4. 마감공사,사다리,넘어짐,1,751,0.1
4. 마감공사,암석,부딪힘 접촉,1,751,0.1
4. 마감공사,외부마감재,깔림 뒤집힘,1,751,0.1
4. 마감공사,외부마감재,맞음,1,751,0.1
4. 마감공사,외부마감재,화재,1,751,0.1
4. 마감공사,용접(단)기,화재,1,751,0.1
4. 마감공사,이동식비계,부딪힘 접촉,1,751,0.1
4. 마감공사,이동식크레인,맞음,1,751,0.1
4. 마감공사,이동식크레인,부딪힘 접촉,1,751,0.1
4. 마감공사,작업발판/가설계단,부딪힘 접촉,1,751,0.1
4. 마감공사,절단기/톱,절단 베임 찔림,1,751,0.1
4. 마감공사,지게차,깔림 뒤집힘,1,751,0.1
4. 마감공사,지게차,떨어짐,1,751,0.1
4. 마감공사,지게차,맞음,1,751,0.1
4. 마감공사,"지붕(처마,홈통)",끼임,1,751,0.1
4. 마감공사,"지붕(처마,홈통)",원인미상,1,751,0.1
4. 마감공사,"철근콘크리트자재(철근,콘크리트,PC)",맞음,1,751,0.1
4. 마감공사,화학물질,떨어짐,1,751,0.1
12. 공통공사,비계,떨어짐,52,463,11.2
12. 공통공사,"지붕(처마,홈통)",떨어짐,21,463,4.5
12. 공통공사,슬라브단부,떨어짐,19,463,4.1
12. 공통공사,개구부(기타개구부),떨어짐,17,463,3.7
12. 공통공사,작업발판/가설계단,떨어짐,17,463,3.7
12. 공통공사,고정식크레인,떨어짐,16,463,3.5
12. 공통공사,벽체,깔림 뒤집힘,16,463,3.5
12. 공통공사,방망,떨어짐,15,463,3.2
12. 공통공사,개구부(바닥개구부),떨어짐,12,463,2.6
12. 공통공사,사다리,떨어짐,10,463,2.2
12. 공통공사,충전부,감전,9,463,1.9
12. 공통공사,철골(철골구조물),떨어짐,8,463,1.7
12. 공통공사,교통수단,부딪힘 접촉,7,463,1.5
12. 공통공사,충전부,떨어짐,7,463,1.5
12. 공통공사,트럭,부딪힘 접촉,7,463,1.5
12. 공통공사,고소작업대,떨어짐,6,463,1.3
12. 공통공사,기타구조물,떨어짐,6,463,1.3
12. 공통공사,분류불능,폭염,6,463,1.3
12. 공통공사,이동식크레인,끼임,6,463,1.3
12. 공통공사,"각재(파이프,강관,합판)",맞음,5,463,1.1
12. 공통공사,굴착기,깔림 뒤집힘,5,463,1.1
12. 공통공사,기계설비,끼임,5,463,1.1
12. 공통공사,"기타자재(내부마감재,시멘트,마대)",깔림 뒤집힘,5,463,1.1
12. 공통공사,"기타자재(내부마감재,시멘트,마대)",맞음,5,463,1.1
12. 공통공사,분류불능,떨어짐,5,463,1.1
12. 공통공사,이동식크레인,맞음(낙하물체),5,463,1.1
12. 공통공사,"지붕(채광판,선라이트)",떨어짐,5,463,1.1
12. 공통공사,천장(판넬 등 마감재),떨어짐,5,463,1.1
12. 공통공사,"각재(파이프,강관,합판)",떨어짐,4,463,0.9
12. 공통공사,기타구조물,깔림 뒤집힘,4,463,0.9
12. 공통공사,기타구조물,맞음,4,463,0.9
12. 공통공사,"기타자재(내부마감재,시멘트,마대)",떨어짐,4,463,0.9
12. 공통공사,리프트,떨어짐,4,463,0.9
12. 공통공사,분류불능,원인미상,4,463,0.9
12. 공통공사,이동식크레인,깔림 뒤집힘,4,463,0.9
12. 공통공사,지게차,부딪힘 접촉,4,463,0.9
12. 공통공사,트럭,떨어짐,4,463,0.9
12. 공통공사,화학물질,유해위험물질 노출 접촉,4,463,0.9
12. 공통공사,화학물질,폭발,4,463,0.9
12. 공통공사,고정식크레인,깔림 뒤집힘,3,463,0.6
12. 공통공사,굴착기,끼임,3,463,0.6
12. 공통공사,굴착기,떨어짐,3,463,0.6
12. 공통공사,굴착기,부딪힘 접촉,3,463,0.6
12. 공통공사,기계설비,깔림 뒤집힘,3,463,0.6
12. 공통공사,기계설비,떨어짐,3,463,0.6
12. 공통공사,물,익사,3,463,0.6
12. 공통공사,배관,맞음,3,463,0.6
12. 공통공사,엘리베이터피트,떨어짐,3,463,0.6
12. 공통공사,외부마감재,떨어짐,3,463,0.6
12. 공통공사,용접(단)기,화재,3,463,0.6
12. 공통공사,이동식크레인,맞음,3,463,0.6
12. 공통공사,지게차,끼임,3,463,0.6
12. 공통공사,화학물질,떨어짐,3,463,0.6
12. 공통공사,고소작업대,끼임,2,463,0.4
12. 공통공사,기계설비,맞음,2,463,0.4
12. 공통공사,기타가설구조물,떨어짐,2,463,0.4
12. 공통공사,달비계,떨어짐,2,463,0.4
12. 공통공사,슬라브단부,깔림 뒤집힘,2,463,0.4
12. 공통공사,이동식비계,떨어짐,2,463,0.4
12. 공통공사,이동식크레인,떨어짐,2,463,0.4
12. 공통공사,전주,떨어짐,2,463,0.4
12. 공통공사,트럭,깔림 뒤집힘,2,463,0.4
12. 공통공사,흙막이가시설,떨어짐,2,463,0.4
12. 공통공사,"각재(파이프,강관,합판)",깔림 뒤집힘,1,463,0.2
12. 공통공사,거푸집,깔림 뒤집힘,1,463,0.2
12. 공통공사,거푸집,끼임,1,463,0.2
12. 공통공사,계단,떨어짐,1,463,0.2
12. 공통공사,계단,부딪힘 접촉,1,463,0.2
12. 공통공사,고정식크레인,끼임,1,463,0.2
12. 공통공사,고정식크레인,맞음,1,463,0.2
12. 공통공사,고정식크레인,맞음(낙하물체),1,463,0.2
12. 공통공사,고정식크레인,무너짐,1,463,0.2
12. 공통공사,교통수단,깔림 뒤집힘,1,463,0.2
12. 공통공사,굴착기,맞음,1,463,0.2
12. 공통공사,굴착기,절단 베임 찔림,1,463,0.2
12. 공통공사,기계설비,폭발,1,463,0.2
12. 공통공사,기타건설장비,깔림 뒤집힘,1,463,0.2
12. 공통공사,기타건설장비,끼임,1,463,0.2
12. 공통공사,기타건설장비,떨어짐,1,463,0.2
12. 공통공사,기타건설장비,부딪힘 접촉,1,463,0.2
12. 공통공사,"기타자재(내부마감재,시멘트,마대)",끼임,1,463,0.2
12. 공통공사,"기타자재(내부마감재,시멘트,마대)",넘어짐,1,463,0.2
12. 공통공사,"기타자재(내부마감재,시멘트,마대)",무너짐,1,463,0.2
12. 공통공사,"기타자재(내부마감재,시멘트,마대)",화재,1,463,0.2
12. 공통공사,로울러,깔림 뒤집힘,1,463,0.2
12. 공통공사,리프트,끼임,1,463,0.2
12. 공통공사,리프트,무너짐,1,463,0.2
12. 공통공사,바닥(바닥에 걸려 넘어짐),떨어짐,1,463,0.2
12. 공통공사,배관,깔림 뒤집힘,1,463,0.2
12. 공통공사,분류불능,깔림 뒤집힘,1,463,0.2
12. 공통공사,분류불능,부딪힘 접촉,1,463,0.2
12. 공통공사,분류불능,화재,1,463,0.2
12. 공통공사,비계,무너짐,1,463,0.2
12. 공통공사,비계,절단 베임 찔림,1,463,0.2
12. 공통공사,사다리,맞음,1,463,0.2
12. 공통공사,수목,맞음,1,463,0.2
12. 공통공사,슬라브단부,절단 베임 찔림,1,463,0.2
12. 공통공사,암석,넘어짐,1,463,0.2
12. 공통공사,암석,맞음,1,463,0.2
12. 공통공사,원인미상,폭염,1,463,0.2
12. 공통공사,이동식크레인,부딪힘 접촉,1,463,0.2
12. 공통공사,작업발판/가설계단,맞음,1,463,0.2
12. 공통공사,작업발판/가설계단,부딪힘 접촉,1,463,0.2
12. 공통공사,전주,맞음,1,463,0.2
12. 공통공사,지게차,깔림 뒤집힘,1,463,0.2
12. 공통공사,지게차,떨어짐,1,463,0.2
12. 공통공사,"지붕(처마,홈통)",끼임,1,463,0.2
12. 공통공사,철골(철골구조물),깔림 뒤집힘,1,463,0.2
12. 공통공사,철골(철골구조물),맞음,1,463,0.2
12. 공통공사,철골(철골자재),맞음,1,463,0.2
12. 공통공사,철골(철골자재),맞음(낙하물체),1,463,0.2
12. 공통공사,"철근콘크리트자재(철근,콘크리트,PC)",깔림 뒤집힘,1,463,0.2
12. 공통공사,"철근콘크리트자재(철근,콘크리트,PC)",떨어짐,1,463,0.2
12. 공통공사,"철근콘크리트자재(철근,콘크리트,PC)",맞음,1,463,0.2
12. 공통공사,충전부,화재,1,463,0.2
12. 공통공사,트럭,끼임,1,463,0.2
12. 공통공사,트럭,맞음,1,463,0.2
12. 공통공사,화학물질,화재,1,463,0.2
"5. 전기, 기계설비공사",사다리,떨어짐,37,390,9.5
"5. 전기, 기계설비공사",충전부,감전,32,390,8.2
"5. 전기, 기계설비공사",기계설비,떨어짐,30,390,7.7
"5. 전기, 기계설비공사",이동식비계,떨어짐,20,390,5.1
"5. 전기, 기계설비공사",전주,떨어짐,19,390,4.9
"5. 전기, 기계설비공사",개구부(바닥개구부),떨어짐,15,390,3.8
"5. 전기, 기계설비공사",기계설비,끼임,15,390,3.8
"5. 전기, 기계설비공사",작업발판/가설계단,떨어짐,13,390,3.3
"5. 전기, 기계설비공사","지붕(채광판,선라이트)",떨어짐,12,390,3.1
"5. 전기, 기계설비공사","지붕(처마,홈통)",떨어짐,12,390,3.1
"5. 전기, 기계설비공사",고소작업대,떨어짐,11,390,2.8
"5. 전기, 기계설비공사",고소작업대,끼임,10,390,2.6
"5. 전기, 기계설비공사",개구부(기타개구부),떨어짐,9,390,2.3
"5. 전기, 기계설비공사",엘리베이터피트,떨어짐,9,390,2.3
"5. 전기, 기계설비공사",기타구조물,떨어짐,8,390,2.1
"5. 전기, 기계설비공사","기타자재(내부마감재,시멘트,마대)",떨어짐,7,390,1.8
"5. 전기, 기계설비공사",천장(판넬 등 마감재),떨어짐,7,390,1.8
"5. 전기, 기계설비공사",기계설비,깔림 뒤집힘,5,390,1.3
"5. 전기, 기계설비공사",리프트,떨어짐,4,390,1.0
"5. 전기, 기계설비공사",배관,떨어짐,4,390,1.0
"5. 전기, 기계설비공사",계단,떨어짐,3,390,0.8
"5. 전기, 기계설비공사",기계설비,부딪힘 접촉,3,390,0.8
"5. 전기, 기계설비공사",이동식크레인,떨어짐,3,390,0.8
"5. 전기, 기계설비공사",전주,감전,3,390,0.8
"5. 전기, 기계설비공사",트럭,부딪힘 접촉,3,390,0.8
"5. 전기, 기계설비공사",화학물질,산소결핍 질식,3,390,0.8
"5. 전기, 기계설비공사",화학물질,유해위험물질 노출 접촉,3,390,0.8
"5. 전기, 기계설비공사",화학물질,폭발,3,390,0.8
"5. 전기, 기계설비공사",화학물질,화재,3,390,0.8
"5. 전기, 기계설비공사","각재(파이프,강관,합판)",떨어짐,2,390,0.5
"5. 전기, 기계설비공사",굴착기,끼임,2,390,0.5
"5. 전기, 기계설비공사",기계설비,맞음,2,390,0.5
"5. 전기, 기계설비공사",기타구조물,깔림 뒤집힘,2,390,0.5
"5. 전기, 기계설비공사","기타자재(내부마감재,시멘트,마대)",깔림 뒤집힘,2,390,0.5
"5. 전기, 기계설비공사","기타자재(내부마감재,시멘트,마대)",맞음,2,390,0.5
"5. 전기, 기계설비공사",달비계,떨어짐,2,390,0.5
"5. 전기, 기계설비공사",말비계,떨어짐,2,390,0.5
"5. 전기, 기계설비공사",배관,깔림 뒤집힘,2,390,0.5
"5. 전기, 기계설비공사",배관,맞음,2,390,0.5
"5. 전기, 기계설비공사",비계,떨어짐,2,390,0.5
"5. 전기, 기계설비공사",슬라브단부,떨어짐,2,390,0.5
"5. 전기, 기계설비공사",이동식크레인,맞음,2,390,0.5
"5. 전기, 기계설비공사",지게차,깔림 뒤집힘,2,390,0.5
"5. 전기, 기계설비공사",충전부,떨어짐,2,390,0.5
"5. 전기, 기계설비공사","각재(파이프,강관,합판)",맞음(낙하물체),1,390,0.3
"5. 전기, 기계설비공사",거푸집,맞음,1,390,0.3
"5. 전기, 기계설비공사",고소작업대,깔림 뒤집힘,1,390,0.3
"5. 전기, 기계설비공사",고소작업대,맞음(낙하물체),1,390,0.3
"5. 전기, 기계설비공사",고소작업대,부딪힘 접촉,1,390,0.3
"5. 전기, 기계설비공사",고정식크레인,부딪힘 접촉,1,390,0.3
"5. 전기, 기계설비공사",교통수단,부딪힘 접촉,1,390,0.3
"5. 전기, 기계설비공사",굴착기,깔림 뒤집힘,1,390,0.3
"5. 전기, 기계설비공사",굴착기,떨어짐,1,390,0.3
"5. 전기, 기계설비공사",굴착기,맞음(낙하물체),1,390,0.3
"5. 전기, 기계설비공사",굴착기,부딪힘 접촉,1,390,0.3
"5. 전기, 기계설비공사",기계설비,감전,1,390,0.3
"5. 전기, 기계설비공사",기계설비,맞음(낙하물체),1,390,0.3
"5. 전기, 기계설비공사",기계설비,무너짐,1,390,0.3
"5. 전기, 기계설비공사",기계설비,산소결핍 질식,1,390,0.3
"5. 전기, 기계설비공사",기타가설구조물,떨어짐,1,390,0.3
"5. 전기, 기계설비공사",기타건설기계기구,끼임,1,390,0.3
"5. 전기, 기계설비공사",기타건설장비,떨어짐,1,390,0.3
"5. 전기, 기계설비공사",기타구조물,넘어짐,1,390,0.3
"5. 전기, 기계설비공사","기타자재(내부마감재,시멘트,마대)",감전,1,390,0.3
"5. 전기, 기계설비공사","기타자재(내부마감재,시멘트,마대)",끼임,1,390,0.3
"5. 전기, 기계설비공사","기타자재(내부마감재,시멘트,마대)",부딪힘 접촉,1,390,0.3
"5. 전기, 기계설비공사","기타자재(내부마감재,시멘트,마대)",화재,1,390,0.3
"5. 전기, 기계설비공사",리프트,끼임,1,390,0.3
"5. 전기, 기계설비공사",물,떨어짐,1,390,0.3
"5. 전기, 기계설비공사",물,이상온도 노출 접촉,1,390,0.3
"5. 전기, 기계설비공사",바닥(바닥에 걸려 넘어짐),넘어짐,1,390,0.3
"5. 전기, 기계설비공사",바닥(바닥에 걸려 넘어짐),절단 베임 찔림,1,390,0.3
"5. 전기, 기계설비공사",분류불능,떨어짐,1,390,0.3
"5. 전기, 기계설비공사",분류불능,원인미상,1,390,0.3
"5. 전기, 기계설비공사",분류불능,유해위험물질 노출 접촉,1,390,0.3
"5. 전기, 기계설비공사",사다리,감전,1,390,0.3
"5. 전기, 기계설비공사",사다리,깔림 뒤집힘,1,390,0.3
"5. 전기, 기계설비공사",암석,깔림 뒤집힘,1,390,0.3
"5. 전기, 기계설비공사",외부마감재,떨어짐,1,390,0.3
"5. 전기, 기계설비공사",용접(단)기,깔림 뒤집힘,1,390,0.3
"5. 전기, 기계설비공사",용접(단)기,폭발,1,390,0.3
"5. 전기, 기계설비공사",원인미상,열사병,1,390,0.3
"5. 전기, 기계설비공사",이동식크레인,부딪힘 접촉,1,390,0.3
"5. 전기, 기계설비공사",전주,깔림 뒤집힘,1,390,0.3
"5. 전기, 기계설비공사",전주,맞음,1,390,0.3
"5. 전기, 기계설비공사",전주,맞음(낙하물체),1,390,0.3
"5. 전기, 기계설비공사",절단기/톱,떨어짐,1,390,0.3
"5. 전기, 기계설비공사",절단기/톱,맞음,1,390,0.3
"5. 전기, 기계설비공사",철골(철골구조물),끼임,1,390,0.3
"5. 전기, 기계설비공사",철골(철골구조물),떨어짐,1,390,0.3
"5. 전기, 기계설비공사",철골(철골구조물),무너짐,1,390,0.3
"5. 전기, 기계설비공사",철골(철골자재),떨어짐,1,390,0.3
"5. 전기, 기계설비공사",철골(철골자재),맞음,1,390,0.3
"5. 전기, 기계설비공사",토사,떨어짐,1,390,0.3
